Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Akçaabat - Gerze;1245;871,5;439;2,84
Akçaabat - Tefenni;2600;1820;1221;2,13
Akçaabat - Tokat;1580;1106;356;4,44
Akçaabat - Turhal;1470;1029;403;3,65
Akçaabat - Van;1695;1186,5;691;2,45
Akçaabat - Yıldızeli;1530;1071;417;3,67
Akçaabat - Sorgun;1695;1186,5;601;2,82
Akçaabat - Zara;1530;1071;334;4,58
Akçaabat - Ereğli_Kdz;2200;1540;888;2,48
Akçaabat - Ereğli_Kdz;2200;1540;888;2,48
Acıgöl - Akçay_Balıkesir;2035;1424,5;830;2,45
Akçay_Balıkesir - Dinar;1600;1120;473;3,38
Akçay_Balıkesir - Sultandağı;1580;1106;481;3,28
Akçay_Balıkesir - Aliağa;635;444,5;137;4,64
Akçay_Balıkesir - Antalya;1865;1305,5;594;3,14
Akçay_Balıkesir - Çine;1315;920,5;356;3,69
Akçay_Balıkesir - Aydın;1345;941,5;319;4,22
Akçay_Balıkesir - Kuşadası;1125;787,5;289;3,89
Akçay_Balıkesir - Söke;1240;868;310;4
Akçay_Balıkesir - Burdur;1690;1183;530;3,19
Akçay_Balıkesir - Gemlik;1240;868;266;4,66
Akçay_Balıkesir - Orhangazi;1240;868;282;4,4
Akçay_Balıkesir - Ezine;555;388,5;83;6,69
Akçay_Balıkesir - Dalaman;1870;1309;505;3,7
Akçay_Balıkesir - Denizli;1385;969,5;368;3,76
Akçay_Balıkesir - Kovancılar;2880;2016;1435;2,01
Akçay_Balıkesir - Elazığ;2880;2016;1372;2,1
Akçay_Balıkesir - Ereğli_Konya;1695;1186,5;785;2,16
Akçay_Balıkesir - Ereğli_Konya;1695;1186,5;785;2,16
Akçay_Balıkesir - Fethiye;1990;1393;541;3,68
Akçay_Balıkesir - Isparta;1740;1218;532;3,27
Akçay_Balıkesir - İstanbul Anadolu;1290;903;453;2,85
Akçay_Balıkesir - Bergama;740;518;107;6,92
Akçay_Balıkesir - İzmir;725;507,5;198;3,66
Akçay_Balıkesir - Kırıkkale;1640;1148;717;2,29
Akçay_Balıkesir - Ilgın;1695;1186,5;551;3,08
Akçay_Balıkesir - Konya;1865;1305,5;640;2,91
Akçay_Balıkesir - Küçükkuyu;400;280;61;6,56
Akçay_Balıkesir - Kütahya;1580;1106;314;5,03
Akçay_Balıkesir - Malatya;2660;1862;1270;2,09
Akçay_Balıkesir - Mersin;2940;2058;978;3,01
Akçay_Balıkesir - Mucur;1865;1305,5;826;2,26
Akçay_Balıkesir - Bodrum;1595;1116,5;442;3,61
Akçay_Balıkesir - Milas;1560;1092;391;3,99
Akçay_Balıkesir - Ortaca;1870;1309;495;3,78
Akçay_Balıkesir - Muş;3110;2177;1619;1,92
Akçay_Balıkesir - Nazilli;1480;1036;365;4,05
Akçay_Balıkesir - Göreme;2035;1424,5;855;2,38
Akçay_Balıkesir - Polatlı;1430;1001;558;2,56
Akçay_Balıkesir - Sarayköy;1385;969,5;346;4
Akçay_Balıkesir - Gürün;2660;1862;1131;2,35
Akçay_Balıkesir - Tekirdağ;1325;927,5;303;4,37
Akçay_Balıkesir - Van;3450;2415;1835;1,88
Akçay_Balıkesir - Yerköy;2090;1463;826;2,53
Akçay_Balıkesir - Yıldızeli;2540;1778;1035;2,45
Akçay_Balıkesir - Akdağmadeni;2430;1701;961;2,53
Acıgöl - Aksaray;400;280;52;7,69
Adıyaman - Aksaray;2090;1463;580;3,6
Aksaray - Sultandağı;1130;791;298;3,79
Akçaabat - Aksaray;2090;1463;811;2,58
Aksaray - Amasya;1640;1148;421;3,9
Aksaray - Kemer;1410;987;502;2,81
Aksaray - Antalya;1290;903;456;2,83
Aksaray - Korkuteli;1695;1186,5;521;3,25
Aksaray - Manavgat;1290;903;382;3,38
Aksaray - Serik;1290;903;419;3,08
Aksaray - Hopa;2430;1701;900;2,7
Aksaray - Aşkale;1865;1305,5;732;2,55
Aksaray - Çine;1695;1186,5;690;2,46
Aksaray - Didim;1810;1267;750;2,41
Aksaray - Kuşadası;1810;1267;721;2,51
Aksaray - Söke;1695;1186,5;699;2,42
Aksaray - Bandırma;2035;1424,5;711;2,86
Aksaray - Balıkesir;2035;1424,5;693;2,94
Aksaray - Beşiri;1980;1386;839;2,36
Aksaray - Beyşehir;880;616;237;3,71
Aksaray - Bismil;1980;1386;776;2,55
Aksaray - Bucak;1410;987;456;3,09
Aksaray - Burdur;1300;910;417;3,12
Aksaray - Biga;2150;1505;782;2,75
Aksaray - Çan;1920;1344;814;2,36
Aksaray - Çanakkale;2150;1505;873;2,46
Aksaray - Lapseki;2150;1505;840;2,56
Aksaray - Alaca;1360;952;278;4,89
Aksaray - Çorum;1360;952;330;4,12
Aksaray - Denizli;1410;987;534;2,64
Aksaray - Tavas;1695;1186,5;577;2,94
Aksaray - Dörtyol;1245;871,5;372;3,35
Aksaray - Erzincan;1580;1106;600;2,63
Aksaray - Eynesil;1980;1386;767;2,58
Aksaray - Fethiye;2035;1424,5;652;3,12
Aksaray - İslahiye;1530;1071;419;3,65
Aksaray - Bulancak;1980;1386;679;2,92
Aksaray - Giresun;1980;1386;694;2,85
Aksaray - Tirebolu;2035;1424,5;737;2,76
Aksaray - Gölbaşı (Adıyaman);2090;1463;516;4,05
Aksaray - Görele;2035;1424,5;754;2,7
Aksaray - Gülşehir;400;280;92;4,35
Aksaray - Hacıbektaş;665;465,5;118;5,64
Aksaray - Havza;1580;1106;417;3,79
Aksaray - Isparta;1410;987;387;3,64
Aksaray - İmamoğlu;960;672;317;3,03
Aksaray - İmranlı;1360;952;453;3
Aksaray - İstanbul Avrupa;1580;1106;682;2,32
Aksaray - Selçuk;1695;1186,5;704;2,41
Aksaray - Kadirli;960;672;367;2,62
Aksaray - Kahramanmaraş;1750;1225;417;4,2
