Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Gebze - Hatay;2260;1582;1085;2,08
Hatay - Kocaeli;2260;1582;1035;2,18
Hatay - Kütahya;2090;1463;870;2,4
Anamur - Hatay;1190;833;486;2,45
Hatay - Silifke;1075;752,5;361;2,98
Hatay - Tarsus;850;595;237;3,59
Hatay - Mersin;850;595;264;3,22
Bodrum - Hatay;2540;1778;1164;2,18
Hatay - Marmaris;2540;1778;1059;2,4
Hatay - Muğla;2540;1778;1054;2,41
Hatay - Milas;2540;1778;1121;2,27
Hatay - M.Kemal Paşa;2430;1701;1146;2,12
Hatay - Nazilli;2200;1540;1013;2,17
Hatay - Niğde;1075;752,5;404;2,66
Hatay - Polatlı;1865;1305,5;749;2,49
Hatay - Sakarya;2260;1582;1002;2,26
Hatay - Susurluk;2430;1701;1127;2,16
Hatay - Şarkikaraağaç;1750;1225;677;2,58
Hatay - Yalova;2370;1659;1120;2,12
Ereğli_Kdz - Hatay;2430;1701;968;2,51
Ereğli_Kdz - Hatay;2430;1701;968;2,51
Hatay - Kozlu;2430;1701;965;2,52
Hatay - Zonguldak;2430;1701;959;2,53
Adana - Alanya;1360;952;411;3,31
Ağrı - Alanya;2770;1939;1383;2
Ahlat - Alanya;2880;2016;1210;2,38
Akçaabat - Alanya;2540;1778;1171;2,17
Alanya - Alaplı;2035;1424,5;803;2,53
Alanya - Beşiri;2090;1463;1054;1,98
Alanya - Bismil;2090;1463;991;2,11
Alanya - Bolu;1695;1186,5;726;2,33
Alanya - Ceyhan;1410;987;461;3,06
Alanya - Çarşamba;2200;1540;897;2,45
Alanya - Çorum;1750;1225;690;2,54
Alanya - Sungurlu;1750;1225;617;2,84
Alanya - Dörtyol;1640;1148;516;3,18
Akçakoca - Alanya;1920;1344;779;2,46
Alanya - Düzce;1810;1267;749;2,42
Alanya - Erdemli;960;672;300;3,2
Alanya - Eynesil;2420;1694;1127;2,15
Alanya - Fethiye;905;633,5;329;2,75
Alanya - Bulancak;2420;1694;1038;2,33
Alanya - Giresun;2420;1694;1053;2,3
Alanya - Tirebolu;2490;1743;1096;2,27
Alanya - Görele;2490;1743;1113;2,24
Alanya - Kırıkhan;1640;1148;588;2,79
Alanya - Havza;2035;1424,5;776;2,62
Alanya - Iğdır;2260;1582;1492;1,51
Alanya - İmamoğlu;1470;1029;461;3,19
Alanya - İskenderun;1640;1148;544;3,01
Alanya - Kadirli;1470;1029;511;2,88
Alanya - Kayseri;1810;1267;575;3,15
Alanya - Keşap;2420;1694;1067;2,27
Alanya - Kurtalan;2035;1424,5;1094;1,86
Alanya - Iğdır Melekli;2260;1582;1492;1,51
Alanya - Anamur;815;570,5;121;6,74
Alanya - Silifke;1010;707;251;4,02
Alanya - Tarsus;960;672;370;2,59
Alanya - Mersin;960;672;333;2,88
Alanya - Merzifon;1920;1344;752;2,55
Alanya - Ordu;2320;1624;1008;2,3
Alanya - Fatsa;2260;1582;968;2,33
Alanya - Ünye;2260;1582;947;2,39
Alanya - Düziçi;1530;1071;529;2,89
Alanya - Osmaniye;1530;1071;498;3,07
Alanya - Payas;1640;1148;524;3,13
Alanya - Perşembe;2320;1624;1011;2,29
Alanya - Piraziz;2420;1694;1030;2,35
Alanya - Samsun;2090;1463;853;2,45
Alanya - Kavak;2035;1424,5;813;2,5
Alanya - Şanlıurfa;1810;1267;768;2,36
Alanya - Siverek;2200;1540;857;2,57
Alanya - Tekkeköy;2200;1540;872;2,52
Alanya - Terme;2200;1540;917;2,4
Alanya - Beşikdüzü;2540;1778;1136;2,24
Alanya - Trabzon;2540;1778;1187;2,14
Alanya - Vakfıkebir;2540;1778;1140;2,23
Alanya - Ereğli_Kdz;2035;1424,5;816;2,49
Alanya - Ereğli_Kdz;2035;1424,5;816;2,49
Alanya - Kozlu;2035;1424,5;807;2,52
Alanya - Zonguldak;2035;1424,5;802;2,54
Adana - Kemer;1640;1148;590;2,78
Afyon - Kemer;565;395,5;325;1,74
Kemer - Sandıklı;565;395,5;263;2,15
Aydın - Kemer;1350;945;385;3,51
Bilecik - Kemer;1130;791;511;2,21
Ceyhan - Kemer;1640;1148;639;2,57
Çorum - Kemer;1695;1186,5;773;2,19
Kemer - Sungurlu;1695;1186,5;701;2,42
Dörtyol - Kemer;1980;1386;694;2,85
Erdemli - Kemer;1930;1351;479;4,03
Kemer - Kırıkhan;1980;1386;766;2,58
İskenderun - Kemer;1980;1386;722;2,74
İstanbul Avrupa - Kemer;1470;1029;753;1,95
İstanbul Anadolu - Kemer;1470;1029;755;1,95
Kemer - Safranbolu;2000;1400;785;2,55
Kemer - Kırıkkale;1410;987;604;2,33
Gebze - Kemer;1360;952;693;1,96
Kemer - Kocaeli;1360;952;643;2,12
Anamur - Kemer;1380;966;300;4,6
Kemer - Silifke;1605;1123,5;430;3,73
Kemer - Mersin;1930;1351;511;3,78
Kemer - Nazilli;1180;826;338;3,49
Kemer - Payas;1980;1386;702;2,82
Kemer - Polatlı;1245;871,5;0;0
Kemer - Sarayköy;950;665;280;3,39
Kemer - Yalova;1500;1050;650;2,31
Afyon - Antalya;475;332,5;292;1,63
Antalya - Sandıklı;340;238;230;1,48
Antalya - Patnos;2880;2016;1468;1,96
Ağrı - Antalya;2770;1939;1421;1,95
Ahlat - Antalya;2880;2016;1415;2,04
Akçaabat - Antalya;2420;1694;1209;2
Ankara - Antalya;1130;791;486;2,33
Antalya - Aşkale;2420;1694;1188;2,04
Antalya - Çine;1240;868;376;3,3
Antalya - Bandırma;1245;871,5;607;2,05
Antalya - Erdek;1360;952;628;2,17
Antalya - Gönen;1540;1078;609;2,53
Amasra - Antalya;2440;1708;759;3,21
Antalya - Bingöl;2660;1862;1187;2,24
Antalya - Güroymak;2880;2016;1347;2,14
Antalya - Bitlis;2880;2016;1281;2,25
Antalya - Bolu;1580;1106;688;2,3
Antalya - Gemlik;1245;871,5;578;2,15
Antalya - Orhangazi;1245;871,5;594;2,1
Antalya - Biga;1705;1193,5;678;2,51
Antalya - Çan;1840;1288;636;2,89
Antalya - Çarşamba;2090;1463;935;2,24
Antalya - Çaycuma;2080;1456;699;2,98
Alaca - Antalya;1750;1225;705;2,48
Antalya - Çorum;1750;1225;728;2,4
Antalya - Dalaman;800;560;242;3,31
Antalya - Doğubeyazıt;2940;2058;1515;1,94
Antalya - Dörtyol;1865;1305,5;649;2,87
Akçakoca - Antalya;2000;1400;672;2,98
Antalya - Düzce;1640;1148;642;2,55
Antalya - Kovancılar;2770;1939;1112;2,49
Antalya - Elazığ;2770;1939;1049;2,64
Antalya - Eynesil;2260;1582;1165;1,94
Antalya - Fethiye;645;451,5;195;3,31
Antalya - Bulancak;2260;1582;1077;2,1
Antalya - Giresun;2260;1582;1092;2,07
Antalya - Tirebolu;2260;1582;1135;1,99
Antalya - Görele;2260;1582;1152;1,96
Antalya - Kırıkhan;1865;1305,5;721;2,59
Antalya - Havza;1920;1344;815;2,36
Antalya - İmamoğlu;1470;1029;594;2,47
Antalya - İmranlı;1920;1344;909;2,11
Antalya - İskenderun;1865;1305,5;677;2,75
Antalya - Kadirli;1470;1029;644;2,28
Antalya - Karabük;1640;1148;673;2,44
Antalya - Safranbolu;1640;1148;685;2,39
Antalya - Karacabey;1245;871,5;627;1,99
Antalya - Araç;1865;1305,5;690;2,7
Antalya - Keşap;2260;1582;1105;2,05
Antalya - Kırıkkale;1300;910;559;2,33
Antalya - Kırşehir;1470;1029;565;2,6
Antalya - Kozan;1470;1029;621;2,37
Antalya - Mercan;2090;1463;1151;1,82
Antalya - Merzifon;1865;1305,5;790;2,36
Antalya - Bodrum;1230;861;424;2,9
Antalya - Köyceğiz;850;595;259;3,28
Antalya - Muğla;1075;752,5;314;3,42
Antalya - Milas;1230;861;381;3,23
Antalya - Ortaca;800;560;241;3,32
Antalya - Yatağan;1325;927,5;342;3,87
Antalya - Ordu;2200;1540;1046;2,1
Antalya - Fatsa;2150;1505;1007;2,14
Antalya - Ünye;2150;1505;986;2,18
Antalya - Payas;1865;1305,5;657;2,84
Antalya - Perşembe;2200;1540;1049;2,1
Antalya - Piraziz;2260;1582;1069;2,11
Antalya - Polatlı;1130;791;404;2,8
Antalya - Samsun;2010;1407;892;2,25
Antalya - Kavak;1920;1344;851;2,26
Antalya - Sarayköy;660;462;247;2,67
Antalya - Sarıkaya;2090;1463;665;3,14
Antalya - Sivas;1920;1344;807;2,38
Antalya - Solhan;2660;1862;1241;2,14
Antalya - Susurluk;1540;1078;554;2,78
Antalya - Tekirdağ;2840;1988;852;3,33
Antalya - Tekkeköy;2090;1463;911;2,29
Antalya - Tercan;2090;1463;1151;1,82
Antalya - Terme;2090;1463;955;2,19
Antalya - Beşikdüzü;2420;1694;1175;2,06
Antalya - Trabzon;2420;1694;1225;1,98
Antalya - Vakfıkebir;2420;1694;1179;2,05
Antalya - Yalova;1245;871,5;617;2,02
Antalya - Yerköy;1695;1186,5;637;2,66
Antalya - Yozgat;1750;1225;678;2,58
Antalya - Sorgun;1920;1344;708;2,71
Antalya - Zara;1920;1344;875;2,19
Antalya - Zonguldak;1865;1305,5;755;2,47
Beyşehir - Korkuteli;1245;871,5;254;4,9
Bingöl - Korkuteli;2880;2016;1251;2,3
Güroymak - Korkuteli;3110;2177;1411;2,2
Bitlis - Korkuteli;3110;2177;1346;2,31
Bucak - Korkuteli;315;220,5;62;5,08
Eğirdir - Korkuteli;680;476;161;4,22
Korkuteli - Kovancılar;2880;2016;1176;2,45
Elazığ - Korkuteli;2880;2016;1113;2,59
Fethiye - Korkuteli;635;444,5;134;4,74
Gevaş - Korkuteli;3450;2415;1542;2,24
Kayseri - Korkuteli;2320;1624;678;3,42
Konya - Korkuteli;1190;833;384;3,1
Korkuteli - Malatya;2660;1862;1011;2,63
Korkuteli - Muş;3110;2177;1361;2,29
Göreme - Korkuteli;2990;2093;597;5,01
Avanos - Korkuteli;2990;2093;615;4,86
Korkuteli - Nevşehir;2990;2093;597;5,01
Gürün - Korkuteli;2660;1862;872;3,05
Korkuteli - Solhan;2880;2016;1305;2,21
Korkuteli - Şarkikaraağaç;1190;833;245;4,86
Adana - Kumluca;1640;1148;642;2,55
Afyon - Kumluca;620;434;378;1,64
Kumluca - Sandıklı;620;434;315;1,97
Aydın - Kumluca;1490;1043;386;3,86
Gemlik - Kumluca;1580;1106;663;2,38
Kumluca - Orhangazi;1580;1106;680;2,32
Ceyhan - Kumluca;1695;1186,5;692;2,45
Çorum - Kumluca;1865;1305,5;826;2,26
Kumluca - Sungurlu;1810;1267;754;2,4
Dörtyol - Kumluca;1980;1386;747;2,65
Erdemli - Kumluca;1930;1351;531;3,63
Kırıkhan - Kumluca;1980;1386;819;2,42
İskenderun - Kumluca;1980;1386;775;2,55
İstanbul Avrupa - Kumluca;1530;1071;806;1,9
Kumluca - Safranbolu;1980;1386;838;2,36
Kırıkkale - Kumluca;1450;1015;657;2,21
Anamur - Kumluca;1440;1008;352;4,09
Kumluca - Silifke;1600;1120;482;3,32
Kumluca - Mersin;1930;1351;564;3,42
Kumluca - Nazilli;1350;945;340;3,97
Kumluca - Payas;1980;1386;755;2,62
Kumluca - Polatlı;1360;952;557;2,44
Kumluca - Sarayköy;1075;752,5;282;3,81
Kumluca - Yalova;1580;1106;702;2,25
Adana - Manavgat;1360;952;470;2,89
Manavgat - Sandıklı;620;434;278;2,23
Ağrı - Manavgat;2770;1939;1347;2,06
Ahlat - Manavgat;2880;2016;1341;2,15
Akçaabat - Manavgat;2420;1694;1135;2,13
Ankara - Manavgat;1360;952;497;2,74
Aydın - Manavgat;1310;917;426;3,08
Amasra - Manavgat;2610;1827;802;3,25
Bartın - Manavgat;2260;1582;786;2,88
Beşiri - Manavgat;2090;1463;1113;1,88
Bismil - Manavgat;2090;1463;1050;1,99
Bolu - Manavgat;1695;1186,5;690;2,46
Manavgat - Yeniçağa;2200;1540;653;3,37
İnegöl - Manavgat;1245;871,5;551;2,26
Çaycuma - Manavgat;2260;1582;742;3,05
Denizli - Manavgat;855;598,5;300;2,85
Devrek - Manavgat;2260;1582;711;3,18
Dörtyol - Manavgat;1865;1305,5;575;3,24
Akçakoca - Manavgat;1920;1344;720;2,67
Düzce - Manavgat;1810;1267;690;2,62
Erdemli - Manavgat;1115;780,5;359;3,11
Eskişehir - Manavgat;1020;714;491;2,08
Eynesil - Manavgat;2260;1582;1091;2,07
Fethiye - Manavgat;1065;745,5;270;3,94
Bulancak - Manavgat;2260;1582;1002;2,26
Manavgat - Tirebolu;2320;1624;1061;2,19
Görele - Manavgat;2320;1624;1077;2,15
Kırıkhan - Manavgat;1865;1305,5;647;2,88
Horasan - Manavgat;2540;1778;1250;2,03
Iğdır - Manavgat;2200;1540;1456;1,51
İmamoğlu - Manavgat;1470;1029;520;2,83
İmranlı - Manavgat;1920;1344;835;2,3
İskenderun - Manavgat;1865;1305,5;603;3,09
İstanbul Avrupa - Manavgat;1530;1071;769;1,99
İstanbul Anadolu - Manavgat;1530;1071;771;1,98
Kadirli - Manavgat;1470;1029;570;2,58
Karabük - Manavgat;1865;1305,5;716;2,6
Manavgat - Safranbolu;1865;1305,5;728;2,56
Araç - Manavgat;2035;1424,5;738;2,76
Keçiborlu - Manavgat;565;395,5;214;2,64
Keşap - Manavgat;2260;1582;1031;2,19
Kırıkkale - Manavgat;1360;952;485;2,8
Gebze - Manavgat;1410;987;709;1,99
Kurtalan - Manavgat;2090;1463;1153;1,81
Manavgat - Mengen (TR);2200;1540;671;3,28
Manavgat - Mercan;2150;1505;1077;2
Anamur - Manavgat;815;570,5;180;4,53
Manavgat - Silifke;1010;707;310;3,26
Manavgat - Tarsus;1115;780,5;429;2,6
Manavgat - Mersin;1115;780,5;391;2,85
Avanos - Manavgat;1360;952;477;2,85
Manavgat - Nevşehir;1360;952;458;2,97
Düziçi - Manavgat;1530;1071;588;2,6
Manavgat - Osmaniye;1530;1071;557;2,75
Manavgat - Payas;1865;1305,5;583;3,2
Manavgat - Perşembe;2200;1540;975;2,26
Manavgat - Piraziz;2260;1582;994;2,27
Manavgat - Polatlı;1300;910;450;2,89
Manavgat - Samsun;2035;1424,5;818;2,49
Manavgat - Sarayköy;855;598,5;321;2,66
Manavgat - Sarıkamış;2090;1463;1322;1,58
Manavgat - Sarıkaya;2090;1463;591;3,54
Manavgat - Şanlıurfa;1810;1267;827;2,19
Manavgat - Tekkeköy;2090;1463;837;2,5
Manavgat - Trabzon;2420;1694;1151;2,1
Manavgat - Yerköy;1695;1186,5;563;3,01
Manavgat - Sorgun;1865;1305,5;634;2,94
Ereğli_Kdz - Manavgat;2035;1424,5;757;2,69
Ereğli_Kdz - Manavgat;2035;1424,5;757;2,69
Gökçebey - Manavgat;2260;1582;731;3,09
Kozlu - Manavgat;2370;1659;771;3,07
Manavgat - Zonguldak;2370;1659;766;3,09
Adana - Serik;1360;952;507;2,68
Sandıklı - Serik;565;395,5;242;2,33
Patnos - Serik;2880;2016;1431;2,01
Ağrı - Serik;2770;1939;1384;2
Ahlat - Serik;2880;2016;1378;2,09
Akçaabat - Serik;2420;1694;1172;2,06
Ankara - Serik;1290;903;533;2,42
Aşkale - Serik;2540;1778;1151;2,21
Amasra - Serik;2610;1827;771;3,39
Beşiri - Serik;2090;1463;1150;1,82
Bismil - Serik;2090;1463;1087;1,92
Serik - Tatvan;2880;2016;1341;2,15
Bitlis - Serik;2880;2016;1244;2,32
Bolu - Serik;1640;1148;700;2,34
İnegöl - Serik;1190;833;515;2,31
Çarşamba - Serik;2090;1463;898;2,33
Alaca - Serik;1750;1225;668;2,62
Çorum - Serik;1750;1225;690;2,54
Serik - Sungurlu;1640;1148;618;2,65
Doğubeyazıt - Serik;2940;2058;1478;1,99
Dörtyol - Serik;1865;1305,5;611;3,05
Akçakoca - Serik;1865;1305,5;684;2,73
Düzce - Serik;1750;1225;653;2,68
Erdemli - Serik;1300;910;396;3,28
Eskişehir - Serik;960;672;455;2,11
Eynesil - Serik;2320;1624;1127;2,06
Fethiye - Serik;945;661,5;233;4,06
Bulancak - Serik;2320;1624;1039;2,23
Giresun - Serik;2320;1624;1054;2,2
Serik - Tirebolu;2370;1659;1097;2,16
Görele - Serik;2370;1659;1114;2,13
Kırıkhan - Serik;1865;1305,5;684;2,73
Havza - Serik;1980;1386;777;2,55
Horasan - Serik;2540;1778;1286;1,98
Iğdır - Serik;2260;1582;1493;1,51
İmamoğlu - Serik;1470;1029;556;2,64
İmranlı - Serik;1920;1344;872;2,2
İskenderun - Serik;1865;1305,5;639;2,92
İstanbul Avrupa - Serik;1470;1029;732;2,01
İstanbul Anadolu - Serik;1470;1029;734;2
Kadirli - Serik;1470;1029;607;2,42
Karabük - Serik;1750;1225;685;2,55
Safranbolu - Serik;1750;1225;697;2,51
Araç - Serik;1980;1386;775;2,55
Keçiborlu - Serik;510;357;178;2,87
Keşap - Serik;2320;1624;1068;2,17
Kırıkkale - Serik;1300;910;521;2,5
Kırşehir - Serik;1470;1029;528;2,78
Gebze - Serik;1360;952;672;2,02
Kurtalan - Serik;2090;1463;1190;1,76
Mercan - Serik;2150;1505;1114;1,93
Anamur - Serik;995;696,5;217;4,59
Serik - Silifke;960;672;347;2,77
Serik - Tarsus;1300;910;466;2,79
Mersin - Serik;1300;910;428;3,04
Merzifon - Serik;1920;1344;753;2,55
Avanos - Serik;1290;903;513;2,51
Nevşehir - Serik;1290;903;495;2,61
Ordu - Serik;2200;1540;1009;2,18
Fatsa - Serik;2150;1505;969;2,22
Serik - Ünye;2150;1505;948;2,27
Düziçi - Serik;1530;1071;625;2,45
Osmaniye - Serik;1530;1071;594;2,58
Payas - Serik;1865;1305,5;620;3,01
Perşembe - Serik;2200;1540;1012;2,17
Piraziz - Serik;2320;1624;1031;2,25
Polatlı - Serik;1190;833;417;2,85
Samsun - Serik;1980;1386;854;2,32
Kavak - Serik;1980;1386;814;2,43
Sarayköy - Serik;870;609;285;3,05
Sarıkamış - Serik;2090;1463;1358;1,54
Sarıkaya - Serik;2035;1424,5;628;3,24
Serik - Sivas;1920;1344;770;2,49
Şanlıurfa - Serik;1810;1267;863;2,1
Serik - Tekkeköy;2090;1463;873;2,39
Serik - Tercan;2150;1505;1114;1,93
Serik - Terme;2090;1463;918;2,28
Serik - Trabzon;2420;1694;1187;2,04
Serik - Vakfıkebir;2420;1694;1141;2,12
Serik - Yerköy;1695;1186,5;599;2,83
Serik - Yozgat;1750;1225;641;2,73
Serik - Sorgun;1865;1305,5;671;2,78
Serik - Zara;1920;1344;838;2,29
Serik - Zonguldak;1980;1386;735;2,69
Acıgöl - Araklı;2035;1424,5;712;2,86
Afyon - Araklı;2035;1424,5;1032;1,97
Araklı - Sandıklı;1865;1305,5;1097;1,7
Akçay_Balıkesir - Araklı;2710;1897;1343;2,02
Aksaray - Araklı;2090;1463;764;2,74
Amasya - Araklı;1360;952;486;2,8
Ankara - Araklı;1530;1071;770;1,99
Antalya - Araklı;2420;1694;1255;1,93
Araklı - Arhavi;520;364;125;4,16
Araklı - Borçka;665;465,5;161;4,13
Araklı - Hopa;520;364;136;3,82
Araklı - Artvin;665;465,5;193;3,45
Araklı - Çine;2600;1820;1409;1,85
Araklı - Aydın;2420;1694;1373;1,76
Araklı - Bandırma;2420;1694;1212;2
Araklı - Gönen;2540;1778;1254;2,03
Araklı - Balıkesir;2580;1806;1257;2,05
Araklı - Bucak;2660;1862;1243;2,14
Araklı - Çavdır;2600;1820;1290;2,02
Araklı - Burdur;2260;1582;1198;1,89
Araklı - Orhangazi;2370;1659;1066;2,22
Araklı - Çanakkale;2660;1862;1374;1,94
Araklı - Çarşamba;645;451,5;322;2
Alaca - Araklı;1360;952;579;2,35
Araklı - Çorum;1360;952;527;2,58
Araklı - Dalaman;2660;1862;1450;1,83
Araklı - Denizli;2260;1582;1253;1,8
Araklı - Düzce;2090;1463;875;2,39
Araklı - Eskişehir;2150;1505;1013;2,12
Araklı - Eynesil;450;315;90;5
Araklı - Fethiye;2600;1820;1403;1,85
Araklı - Fındıklı;520;364;108;4,81
Araklı - Bulancak;450;315;178;2,53
Araklı - Giresun;450;315;164;2,74
Araklı - Isparta;2200;1540;1199;1,83
Araklı - İmranlı;1530;1071;310;4,94
Araklı - İstanbul Avrupa;2170;1519;1091;1,99
Araklı - İstanbul Anadolu;2170;1519;1092;1,99
Araklı - Keçiborlu;2200;1540;1160;1,9
Araklı - Keşap;450;315;151;2,98
Araklı - Gebze;2170;1519;1030;2,11
Araklı - Kocaeli;2150;1505;980;2,19
Araklı - Konya;2420;1694;949;2,55
Araklı - Kütahya;2200;1540;1089;2,02
Araklı - Muğla;2600;1820;1395;1,86
Araklı - Ortaca;2660;1862;1449;1,84
Araklı - Yatağan;2540;1778;1423;1,78
Araklı - M.Kemal Paşa;2370;1659;1188;1,99
Araklı - Göreme;2035;1424,5;688;2,96
Araklı - Ordu;530;371;208;2,55
Araklı - Fatsa;510;357;248;2,06
Araklı - Ünye;510;357;271;1,88
Araklı - Osmancık;1190;833;528;2,25
Araklı - Polatlı;1580;1106;854;1,85
Araklı - Ardeşen;520;364;92;5,65
Araklı - Çayeli;590;413;66;8,94
Araklı - Rize;590;413;45;13,11
Araklı - Pazar;590;413;83;7,11
Araklı - Samsun;725;507,5;367;1,98
Araklı - Sarayköy;2260;1582;1269;1,78
Araklı - Sarıkaya;1750;1225;690;2,54
Araklı - Susurluk;2150;1505;1212;1,77
Araklı - Tefenni;2600;1820;1267;2,05
Araklı - Tekkeköy;645;451,5;344;1,88
Araklı - Terme;645;451,5;300;2,15
Araklı - Tokat;1580;1106;401;3,94
Araklı - Turhal;1470;1029;449;3,27
Araklı - Tosya;1190;833;603;1,97
Araklı - Yıldızeli;1530;1071;463;3,3
Araklı - Boğazlıyan;1750;1225;621;2,82
Araklı - Sorgun;1695;1186,5;647;2,62
Araklı - Ereğli_Kdz;2200;1540;934;2,36
Araklı - Ereğli_Kdz;2200;1540;934;2,36
Acıgöl - Arhavi;2260;1582;838;2,7
Akçaabat - Arhavi;520;364;171;3,04
Aksaray - Arhavi;2430;1701;890;2,73
Arhavi - Çarşamba;1245;871,5;447;2,79
Arhavi - Çorum;1695;1186,5;653;2,6
Arhavi - Düzce;2320;1624;1000;2,32
Arhavi - Eskişehir;2490;1743;1138;2,19
Arhavi - Eynesil;850;595;216;3,94
Arhavi - Bulancak;850;595;304;2,8
Arhavi - Giresun;850;595;289;2,94
Arhavi - Tirebolu;565;395,5;246;2,3
Arhavi - Görele;565;395,5;233;2,42
Arhavi - Havza;1360;952;566;2,4
Arhavi - İstanbul Avrupa;2430;1701;1216;2
Arhavi - İstanbul Anadolu;2430;1701;1218;2
Arhavi - Keşap;850;595;277;3,07
Arhavi - Gebze;2430;1701;1156;2,1
Arhavi - Nevşehir;2260;1582;813;2,78
Arhavi - Of;440;308;106;4,15
Arhavi - Ordu;1075;752,5;334;3,22
Arhavi - Fatsa;1130;791;374;3,02
Arhavi - Ünye;1130;791;396;2,85
Arhavi - Osmancık;1530;1071;653;2,34
Arhavi - Perşembe;1075;752,5;349;3,08
Arhavi - Piraziz;850;595;314;2,71
Ardeşen - Arhavi;270;189;34;7,94
Arhavi - Çayeli;440;308;60;7,33
Arhavi - Pazar;440;308;43;10,23
Arhavi - Kavak;1360;952;532;2,56
Arhavi - Sürmene;520;364;119;4,37
Arhavi - Tekkeköy;1245;871,5;470;2,65
Arhavi - Terme;1245;871,5;426;2,92
Arhavi - Tosya;1530;1071;728;2,1
Arhavi - Beşikdüzü;520;364;206;2,52
Arhavi - Trabzon;520;364;169;3,08
Arhavi - Vakfıkebir;520;364;203;2,56
Arhavi - Boğazlıyan;2035;1424,5;746;2,73
Akçaabat - Borçka;665;465,5;207;3,21
Borçka - Eynesil;1020;714;251;4,06
Borçka - Giresun;1020;714;325;3,14
Borçka - Havza;1360;952;602;2,26
Borçka - Keşap;1020;714;313;3,26
Borçka - Gebze;2490;1743;1191;2,09
Borçka - Ordu;1075;752,5;370;2,91
Borçka - Ünye;960;672;432;2,22
Borçka - Piraziz;1020;714;350;2,91
Borçka - Pazar;610;427;79;7,72
Borçka - Kavak;1360;952;568;2,39
Borçka - Sürmene;665;465,5;155;4,29
Borçka - Tekkeköy;960;672;506;1,9
Borçka - Terme;960;672;462;2,08
Beşikdüzü - Borçka;665;465,5;242;2,75
Borçka - Trabzon;665;465,5;204;3,26
Borçka - Vakfıkebir;665;465,5;238;2,79
Çorum - Hopa;1695;1186,5;664;2,55
Eskişehir - Hopa;2490;1743;1149;2,17
Eynesil - Hopa;850;595;227;3,74
Giresun - Hopa;850;595;300;2,83
Havza - Hopa;1360;952;577;2,36
Hopa - Keşap;850;595;288;2,95
Hopa - Ordu;1075;752,5;345;3,12
Hopa - Ünye;1130;791;407;2,78
Hopa - Piraziz;850;595;325;2,62
Hopa - Pazar;440;308;54;8,15
Hopa - Kavak;1360;952;543;2,5
Hopa - Sürmene;520;364;130;4
Hopa - Tekkeköy;1245;871,5;481;2,59
Hopa - Terme;1245;871,5;437;2,85
Beşikdüzü - Hopa;520;364;217;2,4
Hopa - Trabzon;520;364;179;2,91
Hopa - Vakfıkebir;520;364;213;2,44
Aşkale - Manavgat;2540;1778;1114;2,28
Aşkale - Didim;3050;2135;1482;2,06
Aşkale - Balıkesir;2430;1701;1380;1,76
Aşkale - Banaz;2320;1624;1167;1,99
Aşkale - Bayburt;495;346,5;72;6,88
Aşkale - Bingöl;635;444,5;231;2,75
Aşkale - Bursa;2260;1582;1218;1,86
Aşkale - Çanakkale;3050;2135;1497;2,04
Aşkale - Çarşamba;1580;1106;465;3,4
Aşkale - Diyarbakır;1190;833;372;3,2
Aşkale - Doğubeyazıt;895;626,5;327;2,74
Aşkale - Fethiye;2820;1974;1384;2,04
Aşkale - Giresun;1300;910;307;4,23
Aşkale - Tirebolu;1190;833;264;4,51
Aşkale - Görele;1190;833;272;4,38
Aşkale - İstanbul Avrupa;2200;1540;1175;1,87
Aşkale - İstanbul Avrupa;2200;1540;1176;1,87
Aşkale - İstanbul Anadolu;2200;1540;1177;1,87
Aşkale - Karabük;2260;1582;873;2,59
Aşkale - Safranbolu;2260;1582;885;2,55
Araç - Aşkale;2370;1659;804;2,95
Aşkale - Kastamonu;2260;1582;757;2,99
Aşkale - Gebze;2200;1540;1115;1,97
Aşkale - Kocaeli;2200;1540;1065;2,07
Aşkale - Ilgın;1920;1344;959;2
Aşkale - Seydişehir;2200;1540;982;2,24
Aşkale - Salihli;2490;1743;1322;1,88
Aşkale - Turgutlu;2490;1743;1362;1,83
Aşkale - Mercan;360;252;37;9,73
Aşkale - Merzifon;1810;1267;550;3,29
Aşkale - Bodrum;2990;2093;1518;1,97
Aşkale - Marmaris;3050;2135;1456;2,09
Aşkale - Ordu;1360;952;352;3,86
Aşkale - Perşembe;1360;952;367;3,71
Aşkale - Polatlı;1920;1344;910;2,11
Aşkale - Sakarya;2200;1540;1032;2,13
Aşkale - Samsun;1695;1186,5;510;3,32
Aşkale - Şanlıurfa;1695;1186,5;542;3,13
Aşkale - Siverek;1410;987;453;3,11
Aşkale - Tercan;360;252;37;9,73
Aşkale - Tosya;2150;1505;688;3,13
Aşkale - Trabzon;960;672;260;3,69
Aşkale - Vakfıkebir;960;672;294;3,27
Aşkale - Uşak;2260;1582;1199;1,88
Aşkale - Erciş;1300;910;328;3,96
Aşkale - Yerköy;1530;1071;650;2,35
Aşkale - Yıldızeli;1190;833;431;2,76
Aşkale - Zara;1190;833;318;3,74
Acıgöl - Çine;1695;1186,5;742;2,28
Adana - Çine;1865;1305,5;900;2,07
Çine - Sandıklı;1130;791;316;3,58
Çine - Sultandağı;1410;987;393;3,59
Çine - Patnos;2880;2016;1702;1,69
Ağrı - Çine;2540;1778;1655;1,53
